country,death_rate,access,gdp,population,continent
Afghanistan,208.06,30.1,2068.26590413364,34413603,Asia
Albania,21.27,75.36999999999999,11878.4880933446,2890524,Europe
Algeria,0.43,92.7,11696.9652290603,39728020,Africa
Angola,93.22,47.36,8036.41089824639,27884380,Africa
Antigua and Barbuda,0.78,98.66999999999999,18594.2616238259,93571,North America
Argentina,1.67,98.29,23933.8866120953,43075416,South America
Armenia,2.77,96.61999999999999,11321.3325403745,2925559,Asia
Australia,0.04,100,47636.319641906,23932499,Oceania
Austria,0.06,100,52798.0994607541,8678667,Europe
Azerbaijan,12.98,95.1,14853.9105525729,9622741,Asia
Bahamas,0.72,100,35400.6494660106,374200,North America
Bahrain,0.46,100,48110.7341930587,1371853,Asia
Bangladesh,93.38,16.68,3700.11082057504,156256287,Asia
Barbados,0.05,99.41000000000001,15382.7656890531,285327,North America
Belarus,0.81,98.01,18307.5196678406,9439424,Europe
Belgium,0.03,100,49455.4413365318,11287931,Europe
Belize,14.04,85.17999999999999,7358.58229184617,360926,North America
Benin,161.9,6.06,2945.97022066349,10575962,Africa
Bhutan,80.01,51.75,10086.0727954667,727885,Asia
Bolivia,37.55,62.55,7984.41198272424,10869732,South America
Bosnia and Herzegovina,23.98,62.220000000000006,12630.6623426277,3429362,Europe
Botswana,61.19,63.15,16714.3978216526,2120716,Africa
Brazil,8.62,95.38,15064.1760689478,204471759,South America
Brunei,0.49,100,63147.4834900843,414914,Asia
Bulgaria,14.16,88.42,19620.1539761978,7199739,Europe
Burkina Faso,183.06,8.46,1925.33207544524,18110616,Africa
Burundi,196.13,0.8299999999999971,825.20566069269,10160034,Africa
Cambodia,148.67,16.36,3546.33938731031,15521435,Asia
Cameroon,104.76,21.979999999999997,3458.69271277942,23298376,Africa
Canada,0.01,100,47522.1406673151,36026668,North America
Cape Verde,26.46,70.63,6266.88177858088,524740,Africa
Central African Republic,266.2,0.919999999999999,852.749236638592,4493171,Africa
Chad,211.15,3.13,1857.10786365964,14110971,Africa
Chile,1.86,92,24440.4152640857,17969356,South America
China,30.06,58.54,12691.8215526921,1406847868,Asia
Colombia,6.61,91.29,14095.748356648,47520667,South America
Comoros,127.99,8.15,2959.49809656739,777435,Africa
Congo,83.71,22.74,5227.93427667066,4856093,Africa
Costa Rica,2.54,93.2,19141.6830724515,4847805,North America
Cote d'Ivoire,141.27,17.959999999999997,4417.15021465621,23226148,Africa
Croatia,2.47,92.28,24562.453617545,4232874,Europe
Cyprus,0.06,100,34472.2985065115,1160987,Europe
Czechia,0.47,97.16999999999999,36168.4185553861,10601390,Europe
Democratic Republic of Congo,176.88,3.94,1065.24257721582,76244532,Africa
Denmark,0.02,100,52892.6460290247,5688695,Europe
Djibouti,41,10.89,4488.80265798112,913998,Africa
Dominica,5.69,90.06,11873.7418376836,71175,North America
Dominican Republic,14.95,89.93,15328.3595089817,10281675,North America
Ecuador,4.69,95.24000000000001,11896.3751614302,16212022,South America
Egypt,0.26,97.31,10570.4452319757,92442549,Africa
El Salvador,16.88,84.71000000000001,8143.22444194766,6325121,North America
Equatorial Guinea,26.39,34,28313.4331590396,1168575,Africa
Estonia,1.76,92.61,31146.7545222679,1315330,Europe
Eswatini,104.22,48.52,8304.65845837116,1104038,Africa
Ethiopia,144.99,3.4,1779.0841114169,100835453,Africa
Fiji,58.26,39.160000000000004,12569.1431129142,868632,Oceania
Finland,0.02,100,45072.5902146238,5481128,Europe
France,0.03,100,43345.7864281559,64453194,Europe
Gabon,12.39,78.13,15510.0389513624,1947690,Africa
Gambia,147.29,3.23,2058.65814621739,2085860,Africa
Georgia,30.31,76.36,12605.1400698178,4024180,Asia
Germany,0.02,100,51083.9216615196,81787411,Europe
Ghana,87.31,20.37,4662.30319092518,27849203,Africa
Greece,0.18,94.31,28248.1259561464,10659737,Europe
Grenada,3.18,96.5,15142.06257045,109603,North America
Guatemala,60.27,45.06,8125.65553391647,16252425,North America
Guinea,207.28,1.24,2087.93502637033,11432096,Africa
Guinea-Bissau,219.92,1.4599999999999895,1800.06338150248,1737207,Africa
Guyana,13.53,72.59,11261.8137066367,767433,South America
Haiti,189.33,4.2700000000000005,2941.81608076667,10695540,North America
Honduras,80.61,51.87,5283.41691357908,9112904,North America
Hungary,8.75,100,27499.3244662857,9777925,Europe
Iceland,0.02,100,52142.9328074888,330237,Europe
India,75.56,39.879999999999995,5464.39405731664,1310152392,Asia
Indonesia,55.47,56.49,10149.6038700252,258383257,Asia
Iran,0.27,98.42,12698.1091975659,78492208,Asia
Iraq,0.67,97.39,10122.2007755733,35572269,Asia
Ireland,0.04,100,72251.1535363159,4652420,Europe
Israel,0.04,100,37554.5986562961,7978496,Asia
Italy,0.09,100,40247.8290437942,60578489,Europe
Jamaica,8.78,89.89,9473.10619523862,2891024,North America
Japan,0.03,100,39777.5310167672,127985139,Asia
Jordan,0.04,99.04,10145.8366996846,9266573,Asia
Kazakhstan,13.38,95.07,24290.4176339265,17572010,Asia
Kenya,106.98,12.76,3824.75930317654,47878339,Africa
Kiribati,218.21,4.9,2168.99773241889,110927,Oceania
Kuwait,0.03,100,54834.3916726177,3835588,Asia
Kyrgyzstan,47.92,79.98,4805.14109238388,5959126,Asia
Laos,171.12,5.54,6543.67068865935,6741160,Asia
Latvia,3.08,95.05,26621.2722286526,1997675,Europe
Lesotho,159.04,34.74,2701.42185521194,2059011,Africa
Liberia,135.64,0.700000000000001,1580.47922766632,4472229,Africa
Lithuania,1.44,100,30748.1963109529,2931872,Europe
Luxembourg,0.03,100,110446.086101647,566741,Europe
Madagascar,194.19,0.900000000000001,1546.76704618335,24234080,Africa
Malawi,152.39,2.4899999999999998,1432.08525892858,16745305,Africa
Malaysia,0.65,96.3,24787.8237457166,30270965,Asia
Maldives,11.49,92.88,17284.6478941089,454914,Asia
Mali,164.92,0.929999999999998,2139.73629713506,17438772,Africa
Malta,0.06,100,39845.1145672313,433559,Europe
Marshall Islands,90.49,64.63,3586.05642087459,57444,Oceania
Mauritania,67.26,45.660000000000004,5127.43228246614,4046304,Africa
Mauritius,1.29,93.11,19897.4753965644,1259457,Africa
Mexico,11.52,85.14999999999999,19268.9143963283,121858251,North America
Micronesia (country),89.98,11.79,3448.30369231563,108886,Oceania
Moldova,7.13,91.34,10360.8295911083,4070705,Europe
Mongolia,59.63,41.32,11022.9785342491,2998433,Asia
Montenegro,21.58,68.57,18263.6006034136,626957,Europe
Morocco,11.21,96.6,7126.67058575575,34663608,Africa
Mozambique,202.12,3.62,1262.61312778202,27042001,Africa
Myanmar,139.69,16.97,4268.5006767951,52680724,Asia
Namibia,68.35,41.32,10662.8299304666,2314901,Africa
Nauru,13.86,91.16,13551.9625979464,10374,Oceania
Nepal,131.45,26.56,3331.87176945857,27015033,Asia
Netherlands,0.02,100,52974.1162200949,16938492,Europe
New Zealand,0.04,100,41086.1153021682,4614527,Oceania
Nicaragua,53.36,51.41,5630.40573760444,6223234,North America
Niger,210.74,1.8800000000000001,1132.33120491778,20001663,Africa
Nigeria,100.75,4.3900000000000095,5514.77027265177,181137454,Africa
North Macedonia,23.64,64.9,15072.9475418471,2079335,Europe
Norway,0.01,100,62987.5358625454,5199827,Europe
Oman,1.02,95.06,30146.9560518823,4267341,Asia
Pakistan,114.31,42.13,4278.34666284049,199426953,Asia
Palau,0.1,86.39,18338.1282708705,17665,Oceania
Panama,5.56,88.47,28431.0824221868,3968490,North America
Papua New Guinea,243.63,12.850000000000001,4083.75243695251,8107772,Oceania
Paraguay,28.34,65,11828.1401290455,6688746,South America
Peru,11.71,73.86999999999999,12110.2668971421,30470739,South America
Philippines,76.04,43.21,7300.13621040525,102113206,Asia
Poland,5.02,100,27797.0584233597,38034076,Europe
Portugal,0.18,100,31118.7906703279,10368346,Europe
Qatar,0.01,98.44000000000001,95965.2512366176,2565708,Asia
Romania,7.97,85.33,23878.1885373067,19925182,Europe
Russia,1.41,98.14999999999999,25488.0961196394,144985059,Europe
Rwanda,131.16,0.560000000000005,1889.15810576486,11369066,Africa
Saint Kitts and Nevis,2.03,100,25569.4841249091,51204,North America
Saint Lucia,2.64,96.97,14029.5909199045,179131,North America
Saint Vincent and the Grenadines,4.53,95.9,11973.4193690941,109135,North America
Samoa,121.02,31.53,5992.43932095216,193510,Oceania
San Marino,0.03,100,58061.8567960786,33270,Europe
Sao Tome and Principe,110.33,17.88,3794.35859507025,199439,Africa
Saudi Arabia,0.46,95.99000000000001,48921.2152517247,31717676,Asia
Senegal,120.11,31.82,2966.45534736483,14578450,Africa
Serbia,15.74,75.02,15578.2028500791,8876777,Europe
Seychelles,0.54,90.23,25500.4865590545,94981,Africa
Sierra Leone,185.18,0.929999999999998,1551.82309051333,7171909,Africa
Singapore,0.04,100,89519.7357100565,5592143,Asia
Slovakia,0.49,96.72,28676.2656111842,5435614,Europe
Slovenia,1.63,95.99000000000001,33805.030045384,2071199,Europe
Solomon Islands,422.81,8.360000000000001,2518.64747830047,603133,Oceania
Somalia,282.6,2.12,879.276531935612,13797204,Africa
South Africa,18.22,83.64,12840.0354033768,55386369,Africa
South Korea,0.02,96.67999999999999,38828.7409976118,50823087,Asia
Spain,0.21,100,37377.068016704,46671919,Europe
Sri Lanka,39.63,25.439999999999998,11890.5165276211,20908024,Asia
Sudan,85.03,38.949999999999996,4187.86272224264,38902948,Africa
Suriname,10.25,89.26,19317.0545070113,559136,South America
Sweden,0.02,100,50928.962975552,9764949,Europe
Switzerland,0.01,100,68025.9200383988,8296775,Europe
Tajikistan,80.59,78.55,2984.49491330069,8454019,Asia
Tanzania,138.11,2.15,2354.13898543629,51482638,Africa
Thailand,10.33,74.33,16285.3865749723,68714519,Asia
Timor,139.24,6.53,3297.88916309166,1196294,Asia
Togo,146.18,6.24,1920.46930701736,7323162,Africa
Tonga,48.7,58.849999999999994,5944.4526863595,100780,Oceania
Trinidad and Tobago,0.1,99.27,29053.3347831462,1370332,North America
Tunisia,0.32,99.03,10510.3303060416,11179951,Africa
Turkmenistan,0.21,99.27,12993.5318096291,5565283,Asia
Tuvalu,25.52,48.5,3720.30531533443,11099,Oceania
Uganda,136.26,0.760000000000005,2054.09044873783,38225447,Africa
Ukraine,4.39,95.49000000000001,11237.0744571217,44921636,Europe
United Arab Emirates,0.01,98.63,65218.8204340815,9262896,Asia
United Kingdom,0.01,100,44840.7826443684,65860149,Europe
United States,0.03,100,58540.2960929977,320878312,North America
Uruguay,1.24,97.91000000000001,22425.8300844671,3412013,South America
Uzbekistan,32.67,91.82,6086.71574219326,30929556,Asia
Vanuatu,229.44,12.719999999999999,2915.70045998521,271128,Oceania
Vietnam,51.81,63.809999999999995,6438.25985369358,92677082,Asia
Zambia,128.41,16.310000000000002,3443.55325404862,15879370,Africa
Zimbabwe,143.48,29.36,3198.982128793,13814642,Africa
